study_accession	sample_accession	sample_title	sample_alias	run_accession	library_layout	read_count	submitted_bytes	fastq_bytes	fastq_ftp
PRJEB1786	SAMEA1906452	304	1	ERR260132	PAIRED	13644455	1158549258;1166863607	1201829993;1210188137	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_2.fastq.gz
PRJEB1786	SAMEA1906536	305	2	ERR260133	PAIRED	13188795	1113309934;1116999481	1155058704;1158772978	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260133/ERR260133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260133/ERR260133_2.fastq.gz
PRJEB1786	SAMEA1906542	312	3	ERR260134	PAIRED	73997021	6580397321;6657353554	6825465104;6897769885	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260134/ERR260134_2.fastq.gz
PRJEB1786	SAMEA1906527	317	4	ERR260135	PAIRED	69214430	5905489560;5761429966	6131473456;5981484937	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260135/ERR260135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260135/ERR260135_2.fastq.gz
PRJEB1786	SAMEA1906516	327	5	ERR260136	PAIRED	12819056	1080740701;1086653498	1121467344;1127440579	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260136/ERR260136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260136/ERR260136_2.fastq.gz
PRJEB1786	SAMEA1906573	330	6	ERR260137	PAIRED	9616071	815270113;823684896	845633867;854089689	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260137/ERR260137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260137/ERR260137_2.fastq.gz
PRJEB1786	SAMEA1906552	332	7	ERR260138	PAIRED	16984719	1434984332;1440054326	1489065935;1494192440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260138/ERR260138_2.fastq.gz
PRJEB1786	SAMEA1906465	334	8	ERR260139	PAIRED	10082557	852903557;854706950	884590776;886520154	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260139/ERR260139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260139/ERR260139_2.fastq.gz
PRJEB1786	SAMEA1906489	344	9	ERR260140	PAIRED	9583450	807553706;812210365	837700447;842365762	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260140/ERR260140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260140/ERR260140_2.fastq.gz
PRJEB1786	SAMEA1906485	347	10	ERR260141	PAIRED	12319817	1042732596;1049336723	1081851150;1088491199	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260141/ERR260141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260141/ERR260141_2.fastq.gz
PRJEB1786	SAMEA1906416	349	11	ERR260142	PAIRED	12141637	1072825967;1070118128	1113372948;1110592938	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260142/ERR260142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260142/ERR260142_2.fastq.gz
PRJEB1786	SAMEA1906434	350	12	ERR260143	PAIRED	14104678	1241245686;1237399710	1288402149;1284499958	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260143/ERR260143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260143/ERR260143_2.fastq.gz
PRJEB1786	SAMEA1906558	353	13	ERR260144	PAIRED	12296547	1079118933;1073526867	1120004498;1114415360	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260144/ERR260144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260144/ERR260144_2.fastq.gz
PRJEB1786	SAMEA1906582	354	14	ERR260145	PAIRED	14020464	1236416522;1232753075	1283263288;1279552231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260145/ERR260145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260145/ERR260145_2.fastq.gz
PRJEB1786	SAMEA1906496	356	15	ERR260146	PAIRED	13887706	1204707485;1188687740	1251103742;1234802190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260146/ERR260146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260146/ERR260146_2.fastq.gz
PRJEB1786	SAMEA1906490	365	16	ERR260147	PAIRED	13969150	1204741315;1187194638	1251715613;1233238098	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260147/ERR260147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260147/ERR260147_2.fastq.gz
PRJEB1786	SAMEA1906457	367	17	ERR260148	PAIRED	10939897	967670069;965531287	1004229134;1002074135	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260148/ERR260148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260148/ERR260148_2.fastq.gz
PRJEB1786	SAMEA1906437	370	18	ERR260149	PAIRED	15256432	1346816788;1340503329	1397828524;1391491737	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260149/ERR260149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260149/ERR260149_2.fastq.gz
PRJEB1786	SAMEA1906419	372	19	ERR260150	PAIRED	15066005	1321353137;1314712062	1371618813;1365024642	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260150/ERR260150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260150/ERR260150_2.fastq.gz
PRJEB1786	SAMEA1906571	378	20	ERR260151	PAIRED	13021937	1147973170;1143510905	1191435464;1186943115	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260151/ERR260151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260151/ERR260151_2.fastq.gz
PRJEB1786	SAMEA1906580	380	21	ERR260152	PAIRED	8978017	767003421;773532153	795360832;801917922	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260152/ERR260152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260152/ERR260152_2.fastq.gz
PRJEB1786	SAMEA1906560	381	22	ERR260153	PAIRED	13917531	1188796177;1197707000	1232983114;1241964511	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260153/ERR260153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260153/ERR260153_2.fastq.gz
PRJEB1786	SAMEA1906541	384	23	ERR260154	PAIRED	12303619	1053159517;1059824321	1092242858;1098931926	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260154/ERR260154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260154/ERR260154_2.fastq.gz
PRJEB1786	SAMEA1906505	389	24	ERR260155	PAIRED	12747678	1091273749;1099764878	1131620919;1140132571	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260155/ERR260155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260155/ERR260155_2.fastq.gz
PRJEB1786	SAMEA1906518	393	25	ERR260156	PAIRED	8336203	712744080;717972290	738908761;744144462	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260156/ERR260156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260156/ERR260156_2.fastq.gz
PRJEB1786	SAMEA1906578	395	26	ERR260157	PAIRED	11662077	996268014;1001669441	1033132308;1038544148	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260157/ERR260157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260157/ERR260157_2.fastq.gz
PRJEB1786	SAMEA1906561	397	27	ERR260158	PAIRED	10430096	876285671;875522548	908831081;908171461	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260158/ERR260158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260158/ERR260158_2.fastq.gz
PRJEB1786	SAMEA1906435	398	28	ERR260159	PAIRED	10829700	928736644;934416839	963037847;968742731	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260159/ERR260159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260159/ERR260159_2.fastq.gz
PRJEB1786	SAMEA1906423	420	29	ERR260160	PAIRED	11551787	988861419;993852295	1025340119;1030379835	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260160/ERR260160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260160/ERR260160_2.fastq.gz
PRJEB1786	SAMEA1906482	421	30	ERR260161	PAIRED	21446178	2010014403;1982357170	2078400720;2049090801	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260161/ERR260161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260161/ERR260161_2.fastq.gz
PRJEB1786	SAMEA1906450	422	31	ERR260162	PAIRED	30725670	2884485610;2826166754	2982609612;2922462449	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260162/ERR260162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260162/ERR260162_2.fastq.gz
PRJEB1786	SAMEA1906470	424	32	ERR260163	PAIRED	15933285	1490651584;1467453099	1540858833;1516078909	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260163/ERR260163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260163/ERR260163_2.fastq.gz
PRJEB1786	SAMEA1906537	432	33	ERR260164	PAIRED	17467406	1642747325;1620008831	1697664641;1673074914	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260164/ERR260164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260164/ERR260164_2.fastq.gz
PRJEB1786	SAMEA1906512	434	34	ERR260165	PAIRED	23098980	2168881227;2132102676	2241820100;2202848503	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260165/ERR260165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260165/ERR260165_2.fastq.gz
PRJEB1786	SAMEA1906469	436	35	ERR260166	PAIRED	21761858	2046302569;2010891977	2114644375;2076570352	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260166/ERR260166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260166/ERR260166_2.fastq.gz
PRJEB1786	SAMEA1906456	439	36	ERR260167	PAIRED	21530642	2022503405;1989802373	2090600460;2056300733	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260167/ERR260167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260167/ERR260167_2.fastq.gz
PRJEB1786	SAMEA1906480	441	37	ERR260168	PAIRED	23153521	2172881388;2135220105	2246558623;2206806110	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260168/ERR260168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260168/ERR260168_2.fastq.gz
PRJEB1786	SAMEA1906421	446	38	ERR260169	PAIRED	9508688	892752153;885176425	922395259;913852096	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260169/ERR260169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260169/ERR260169_2.fastq.gz
PRJEB1786	SAMEA1906441	451	39	ERR260170	PAIRED	15149519	1423902363;1401611157	1471211988;1447155147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260170/ERR260170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260170/ERR260170_2.fastq.gz
PRJEB1786	SAMEA1906568	456	40	ERR260171	PAIRED	28856602	2582201571;2620636481	2675965790;2713111894	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260171/ERR260171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260171/ERR260171_2.fastq.gz
PRJEB1786	SAMEA1906547	457	41	ERR260172	PAIRED	27045497	2390535272;2424115184	2477935426;2510821969	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260172/ERR260172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260172/ERR260172_2.fastq.gz
PRJEB1786	SAMEA1906529	458	42	ERR260173	PAIRED	29783259	2657819990;2700791743	2754951025;2796457590	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260173/ERR260173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260173/ERR260173_2.fastq.gz
PRJEB1786	SAMEA1906540	462	43	ERR260174	PAIRED	22560827	2009551124;2041306516	2082654230;2113512108	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260174/ERR260174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260174/ERR260174_2.fastq.gz
PRJEB1786	SAMEA1906522	463	44	ERR260175	PAIRED	15849917	1411257842;1432371282	1462157610;1482682287	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260175/ERR260175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260175/ERR260175_2.fastq.gz
PRJEB1786	SAMEA1906583	468	45	ERR260176	PAIRED	18528492	1655914815;1678033046	1715272043;1736856653	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260176/ERR260176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260176/ERR260176_2.fastq.gz
PRJEB1786	SAMEA1906559	472	46	ERR260177	PAIRED	21463357	1906371002;1931769855	1975663289;2000451390	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260177/ERR260177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260177/ERR260177_2.fastq.gz
PRJEB1786	SAMEA1906553	476	47	ERR260178	PAIRED	25613808	2215313447;2196676342	2297102633;2276967073	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260178/ERR260178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260178/ERR260178_2.fastq.gz
PRJEB1786	SAMEA1906442	478	48	ERR260179	PAIRED	20891133	1864030974;1891496332	1931594518;1958211007	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260179/ERR260179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260179/ERR260179_2.fastq.gz
PRJEB1786	SAMEA1906431	479	49	ERR260180	PAIRED	15971316	1486097576;1474235425	1536553314;1523865580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260180/ERR260180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260180/ERR260180_2.fastq.gz
PRJEB1786	SAMEA1906479	483	50	ERR260181	PAIRED	24822835	2316706149;2287183688	2395521277;2364724562	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260181/ERR260181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260181/ERR260181_2.fastq.gz
PRJEB1786	SAMEA1906455	484	51	ERR260182	PAIRED	21872053	2047315984;2026230454	2116648745;2094004164	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260182/ERR260182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260182/ERR260182_2.fastq.gz
PRJEB1786	SAMEA1906534	487	52	ERR260183	PAIRED	22877682	2124536548;2101393878	2197134676;2172451968	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260183/ERR260183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260183/ERR260183_2.fastq.gz
PRJEB1786	SAMEA1906498	488	53	ERR260184	PAIRED	21515297	2010581070;1988540911	2078691095;2055204528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260184/ERR260184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260184/ERR260184_2.fastq.gz
PRJEB1786	SAMEA1906523	495	54	ERR260185	PAIRED	21123659	1974161187;1947992555	2040938853;2013713944	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260185/ERR260185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260185/ERR260185_2.fastq.gz
PRJEB1786	SAMEA1906495	497	55	ERR260186	PAIRED	19912787	1854122293;1833425933	1917358448;1895386596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260186/ERR260186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260186/ERR260186_2.fastq.gz
PRJEB1786	SAMEA1906468	51	56	ERR260187	PAIRED	10653221	927097561;927487328	962605652;962924811	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260187/ERR260187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260187/ERR260187_2.fastq.gz
PRJEB1786	SAMEA1906444	517	57	ERR260188	PAIRED	20707622	1934131066;1911381443	1999666736;1975858770	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260188/ERR260188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260188/ERR260188_2.fastq.gz
PRJEB1786	SAMEA1906436	524	58	ERR260189	PAIRED	18230908	1702848569;1683828777	1760034477;1739516956	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260189/ERR260189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260189/ERR260189_2.fastq.gz
PRJEB1786	SAMEA1906422	526	59	ERR260190	PAIRED	20508040	1913779978;1892027653	1978579303;1955460896	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260190/ERR260190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260190/ERR260190_2.fastq.gz
PRJEB1786	SAMEA1906574	529	60	ERR260191	PAIRED	24499043	2317772836;2216450771	2394327766;2291529467	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260191/ERR260191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260191/ERR260191_2.fastq.gz
PRJEB1786	SAMEA1906557	530	61	ERR260192	PAIRED	19111467	1808223135;1733516615	1868079174;1791815973	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260192/ERR260192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260192/ERR260192_2.fastq.gz
PRJEB1786	SAMEA1906539	53	62	ERR260193	PAIRED	13971868	1228511786;1228618771	1275452592;1275447276	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260193/ERR260193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260193/ERR260193_2.fastq.gz
PRJEB1786	SAMEA1906524	536	63	ERR260194	PAIRED	21249499	2004473828;1938981830	2071532100;2004287694	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260194/ERR260194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260194/ERR260194_2.fastq.gz
PRJEB1786	SAMEA1906477	54	64	ERR260195	PAIRED	13561331	1190540620;1193547857	1235919898;1238778137	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260195/ERR260195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260195/ERR260195_2.fastq.gz
PRJEB1786	SAMEA1906426	543	65	ERR260196	PAIRED	21058400	1992438120;1908372060	2058330454;1972928173	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260196/ERR260196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260196/ERR260196_2.fastq.gz
PRJEB1786	SAMEA1906440	547	66	ERR260197	PAIRED	20552129	1946617283;1868963696	2010499274;1930824369	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260197/ERR260197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260197/ERR260197_2.fastq.gz
PRJEB1786	SAMEA1906548	551	67	ERR260198	PAIRED	23567440	2215908700;2122756185	2290244895;2196067181	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260198/ERR260198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260198/ERR260198_2.fastq.gz
PRJEB1786	SAMEA1906570	552	68	ERR260199	PAIRED	15013773	1425198626;1373266106	1471232055;1417332724	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260199/ERR260199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260199/ERR260199_2.fastq.gz
PRJEB1786	SAMEA1906577	558	69	ERR260200	PAIRED	17605647	1664168816;1596758066	1719000767;1650407871	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260200/ERR260200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260200/ERR260200_2.fastq.gz
PRJEB1786	SAMEA1906514	561	70	ERR260201	PAIRED	21396140	2012740554;1923800434	2080349711;1990629573	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260201/ERR260201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260201/ERR260201_2.fastq.gz
PRJEB1786	SAMEA1906545	563	71	ERR260202	PAIRED	17149775	1625520362;1555708808	1678757475;1607897881	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260202/ERR260202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260202/ERR260202_2.fastq.gz
PRJEB1786	SAMEA1906531	577	72	ERR260203	PAIRED	14155779	1323852926;1274046948	1366262385;1314989872	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260203/ERR260203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260203/ERR260203_2.fastq.gz
