study_accession	sample_accession	sample_title	sample_alias	run_accession	library_layout	read_count	submitted_bytes	fastq_bytes	fastq_ftp
PRJEB1786	SAMEA1906503	58	73	ERR260204	PAIRED	13213300	1157337005;1159850737	1201460329;1203865280	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260204/ERR260204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260204/ERR260204_2.fastq.gz
PRJEB1786	SAMEA1906565	584	74	ERR260205	PAIRED	14999378	1400300945;1350356834	1445561051;1394383101	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260205/ERR260205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260205/ERR260205_2.fastq.gz
PRJEB1786	SAMEA1906424	587	75	ERR260206	PAIRED	13696641	1281029322;1232060779	1322092430;1271510111	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260206/ERR260206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260206/ERR260206_2.fastq.gz
PRJEB1786	SAMEA1906446	589	76	ERR260207	PAIRED	15696073	1467766455;1422509960	1515580230;1468846340	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260207/ERR260207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260207/ERR260207_2.fastq.gz
PRJEB1786	SAMEA1906462	591	77	ERR260208	PAIRED	18976106	1768118879;1702982976	1826079442;1759930417	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260208/ERR260208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260208/ERR260208_2.fastq.gz
PRJEB1786	SAMEA1906484	59	78	ERR260209	PAIRED	12460015	1075137907;1075602576	1116629908;1117086774	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260209/ERR260209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260209/ERR260209_2.fastq.gz
PRJEB1786	SAMEA1906528	598	79	ERR260210	PAIRED	17399677	1625900832;1566878897	1678035426;1617331254	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260210/ERR260210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260210/ERR260210_2.fastq.gz
PRJEB1786	SAMEA1906501	600	80	ERR260211	PAIRED	15371612	1427391738;1377235780	1474585415;1423626722	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260211/ERR260211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260211/ERR260211_2.fastq.gz
PRJEB1786	SAMEA1906579	604	83	ERR260214	PAIRED	19422986	1810543740;1731222425	1870560479;1790961220	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260214/ERR260214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260214/ERR260214_2.fastq.gz
PRJEB1786	SAMEA1906432	614	84	ERR260215	PAIRED	7653274	644946370;644933998	670468455;670470611	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260215/ERR260215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260215/ERR260215_2.fastq.gz
PRJEB1786	SAMEA1906433	617	85	ERR260216	PAIRED	4849280	413994194;411589086	430133990;427750000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260216/ERR260216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260216/ERR260216_2.fastq.gz
PRJEB1786	SAMEA1906420	618	86	ERR260217	PAIRED	8413357	708546759;709070924	736447684;736972288	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260217/ERR260217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260217/ERR260217_2.fastq.gz
PRJEB1786	SAMEA1906556	628	87	ERR260218	PAIRED	6919590	584598390;583972374	607657827;607042569	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260218/ERR260218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260218/ERR260218_2.fastq.gz
PRJEB1786	SAMEA1906564	638	88	ERR260219	PAIRED	5712761	475440868;477800333	494504415;496849054	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260219/ERR260219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260219/ERR260219_2.fastq.gz
PRJEB1786	SAMEA1906510	640	89	ERR260220	PAIRED	12659621	1073777924;1063927168	1116099920;1106119325	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260220/ERR260220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260220/ERR260220_2.fastq.gz
PRJEB1786	SAMEA1906530	643	90	ERR260221	PAIRED	7653823	649110921;647056009	674657788;672620018	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260221/ERR260221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260221/ERR260221_2.fastq.gz
PRJEB1786	SAMEA1906544	646	91	ERR260222	PAIRED	7107540	599204132;599560773	622860069;623219083	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260222/ERR260222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260222/ERR260222_2.fastq.gz
PRJEB1786	SAMEA1906464	655	92	ERR260223	PAIRED	6267937	533158330;530158171	554042462;551067124	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260223/ERR260223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260223/ERR260223_2.fastq.gz
PRJEB1786	SAMEA1906493	77	93	ERR260224	PAIRED	13689474	1189584162;1192436192	1235593433;1238374182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260224/ERR260224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260224/ERR260224_2.fastq.gz
PRJEB1786	SAMEA1906418	80	94	ERR260225	PAIRED	9310011	817969452;823087780	849110128;854092180	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260225/ERR260225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260225/ERR260225_2.fastq.gz
PRJEB1786	SAMEA1906569	88	95	ERR260226	PAIRED	13649613	1180985884;1177818846	1226571514;1223282489	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260226/ERR260226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260226/ERR260226_2.fastq.gz
PRJEB1786	SAMEA1906576	92	96	ERR260227	PAIRED	10970243	957809662;959116109	994268367;995544557	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260227/ERR260227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260227/ERR260227_2.fastq.gz
PRJEB1786	SAMEA1906526	200	97	ERR260228	PAIRED	19051899	1651461624;1654822592	1712374079;1715517447	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260228/ERR260228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260228/ERR260228_2.fastq.gz
PRJEB1786	SAMEA1906543	205	98	ERR260229	PAIRED	14361230	1260843156;1260954108	1308845284;1308708919	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260229/ERR260229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260229/ERR260229_2.fastq.gz
PRJEB1786	SAMEA1906458	224	99	ERR260230	PAIRED	9883620	871276877;868621635	904082069;901272581	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260230/ERR260230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260230/ERR260230_2.fastq.gz
PRJEB1786	SAMEA1906487	225	100	ERR260231	PAIRED	10392457	913220149;908074508	947604105;942279107	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260231/ERR260231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260231/ERR260231_2.fastq.gz
PRJEB1786	SAMEA1906415	227	101	ERR260232	PAIRED	9333402	821214378;819171540	852086540;849926194	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260232/ERR260232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260232/ERR260232_2.fastq.gz
PRJEB1786	SAMEA1906430	229	102	ERR260233	PAIRED	10337449	912303121;904780165	946477229;938713493	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260233/ERR260233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260233/ERR260233_2.fastq.gz
PRJEB1786	SAMEA1906448	231	103	ERR260234	PAIRED	12290046	1081237219;1072422987	1122089038;1112902913	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260234/ERR260234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260234/ERR260234_2.fastq.gz
PRJEB1786	SAMEA1906572	235	104	ERR260235	PAIRED	7533581	664394449;661293216	689374266;686232638	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260235/ERR260235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260235/ERR260235_2.fastq.gz
PRJEB1786	SAMEA1906555	239	105	ERR260236	PAIRED	10078144	886468529;881884738	919921400;915191250	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260236/ERR260236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260236/ERR260236_2.fastq.gz
PRJEB1786	SAMEA1906567	243	106	ERR260237	PAIRED	13591367	1201512813;1191808681	1246630966;1236560100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260237/ERR260237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260237/ERR260237_2.fastq.gz
PRJEB1786	SAMEA1906497	244	107	ERR260238	PAIRED	14040098	1235315390;1234113025	1281878423;1280432942	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260238/ERR260238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260238/ERR260238_2.fastq.gz
PRJEB1786	SAMEA1906533	248	108	ERR260239	PAIRED	12757950	1087738267;1083100491	1130282170;1125702156	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260239/ERR260239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260239/ERR260239_2.fastq.gz
PRJEB1786	SAMEA1906546	258	109	ERR260240	PAIRED	13235163	1102002541;1091370902	1146446791;1135416472	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260240/ERR260240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260240/ERR260240_2.fastq.gz
PRJEB1786	SAMEA1906472	263	110	ERR260241	PAIRED	11581627	995923817;993173587	1034814580;1032079582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260241/ERR260241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260241/ERR260241_2.fastq.gz
PRJEB1786	SAMEA1906491	264	111	ERR260242	PAIRED	7929514	680349208;683113277	706967318;709730337	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260242/ERR260242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260242/ERR260242_2.fastq.gz
PRJEB1786	SAMEA1906417	268	112	ERR260243	PAIRED	11371398	970509251;967717520	1008470874;1005703474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260243/ERR260243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260243/ERR260243_2.fastq.gz
PRJEB1786	SAMEA1906438	269	113	ERR260244	PAIRED	9602014	817889215;816969700	849807106;848947238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260244/ERR260244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260244/ERR260244_2.fastq.gz
PRJEB1786	SAMEA1906581	278	114	ERR260245	PAIRED	13420978	1155135662;1151808686	1200054686;1196703196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260245/ERR260245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260245/ERR260245_2.fastq.gz
PRJEB1786	SAMEA1906550	288	115	ERR260246	PAIRED	12325479	1057488255;1054478041	1098856659;1095834838	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260246/ERR260246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260246/ERR260246_2.fastq.gz
PRJEB1786	SAMEA1906575	290	116	ERR260247	PAIRED	11639144	987708057;980031555	1026521418;1018800082	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260247/ERR260247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260247/ERR260247_2.fastq.gz
PRJEB1786	SAMEA1906429	299	117	ERR260248	PAIRED	11300794	958812154;953922553	996555312;991686342	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260248/ERR260248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260248/ERR260248_2.fastq.gz
PRJEB1786	SAMEA1906447	112	118	ERR260249	PAIRED	9674430	842576610;838316066	874644512;870264551	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260249/ERR260249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260249/ERR260249_2.fastq.gz
PRJEB1786	SAMEA1906463	118	119	ERR260250	PAIRED	16372748	1445997077;1444471528	1501012203;1499280745	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260250/ERR260250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260250/ERR260250_2.fastq.gz
PRJEB1786	SAMEA1906460	121	120	ERR260251	PAIRED	12391800	1091682971;1092668940	1133004619;1133883852	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260251/ERR260251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260251/ERR260251_2.fastq.gz
PRJEB1786	SAMEA1906474	126	121	ERR260252	PAIRED	14759413	1306894663;1305381954	1356443908;1354751455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260252/ERR260252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260252/ERR260252_2.fastq.gz
PRJEB1786	SAMEA1906525	127	122	ERR260253	PAIRED	12277317	1085992568;1087437305	1126963136;1128259122	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260253/ERR260253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260253/ERR260253_2.fastq.gz
PRJEB1786	SAMEA1906532	131	123	ERR260254	PAIRED	12909096	1143099008;1141247944	1186085822;1184098028	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260254/ERR260254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260254/ERR260254_2.fastq.gz
PRJEB1786	SAMEA1906551	141	124	ERR260255	PAIRED	9900293	873186480;872541565	906129028;905434243	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260255/ERR260255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260255/ERR260255_2.fastq.gz
PRJEB1786	SAMEA1906449	143	125	ERR260256	PAIRED	14922510	1287143768;1268633135	1337120020;1318052931	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260256/ERR260256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260256/ERR260256_2.fastq.gz
PRJEB1786	SAMEA1906425	144	126	ERR260257	PAIRED	22536928	1989694731;1982314078	2065993628;2058421966	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260257/ERR260257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260257/ERR260257_2.fastq.gz
PRJEB1786	SAMEA1906486	146	127	ERR260258	PAIRED	11827877	1037528508;1043002330	1077078716;1082450617	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260258/ERR260258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260258/ERR260258_2.fastq.gz
PRJEB1786	SAMEA1906459	153	128	ERR260259	PAIRED	19451938	1685132378;1695175383	1747562526;1757228712	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260259/ERR260259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260259/ERR260259_2.fastq.gz
PRJEB1786	SAMEA1906481	155	129	ERR260260	PAIRED	19181630	1668218795;1673540105	1729766614;1734800892	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260260/ERR260260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260260/ERR260260_2.fastq.gz
PRJEB1786	SAMEA1906451	158	130	ERR260261	PAIRED	20067854	1725081977;1731447061	1789688029;1795875230	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260261/ERR260261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260261/ERR260261_2.fastq.gz
PRJEB1786	SAMEA1906466	186	131	ERR260262	PAIRED	14829114	1290336900;1297780644	1337768417;1344932759	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260262/ERR260262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260262/ERR260262_2.fastq.gz
PRJEB1786	SAMEA1906443	187	132	ERR260263	PAIRED	22588195	1959167284;1969173343	2031928239;2041466033	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260263/ERR260263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260263/ERR260263_2.fastq.gz
PRJEB1786	SAMEA1906427	193	133	ERR260264	PAIRED	24518042	2120370082;2127175158	2199792064;2206180397	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260264/ERR260264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260264/ERR260264_2.fastq.gz
PRJEB1786	SAMEA1906563	194	134	ERR260265	PAIRED	22021962	1915534955;1923529339	1986396908;1993994922	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260265/ERR260265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260265/ERR260265_2.fastq.gz
PRJEB1786	SAMEA1906520	195	135	ERR260266	PAIRED	19437678	1679320273;1684612148	1741593460;1746692841	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260266/ERR260266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260266/ERR260266_2.fastq.gz
PRJEB1786	SAMEA1906538	198	136	ERR260267	PAIRED	20191326	1751920168;1761645494	1816737540;1826063506	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260267/ERR260267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260267/ERR260267_2.fastq.gz
PRJEB1786	SAMEA1906453	137	137	ERR260268	PAIRED	4155208	318906638;309349548	335043432;325421360	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260268/ERR260268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260268/ERR260268_2.fastq.gz
PRJEB1786	SAMEA1906494	249	138	ERR260269	PAIRED	5036006	381694841;369370044	401628940;389201182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260269/ERR260269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260269/ERR260269_2.fastq.gz
PRJEB1786	SAMEA1906428	286	139	ERR260270	PAIRED	5528587	421386244;408195008	442736500;429500043	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260270/ERR260270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260270/ERR260270_2.fastq.gz
PRJEB1786	SAMEA1906445	297	140	ERR260271	PAIRED	3967737	308716973;299544463	324018179;314802144	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260271/ERR260271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260271/ERR260271_2.fastq.gz
PRJEB1786	SAMEA1906562	342	141	ERR260272	PAIRED	4109431	317522633;306981462	333759476;323142616	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260272/ERR260272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260272/ERR260272_2.fastq.gz
PRJEB1786	SAMEA1906549	470	142	ERR260273	PAIRED	4275127	328463134;317990038	345218515;334666991	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260273/ERR260273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260273/ERR260273_2.fastq.gz
PRJEB1786	SAMEA1906566	475	143	ERR260274	PAIRED	5968014	457041793;444477512	480547422;467864014	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260274/ERR260274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260274/ERR260274_2.fastq.gz
PRJEB1786	SAMEA1906507	485	144	ERR260275	PAIRED	5681375	423801595;412446048	445789907;434353296	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260275/ERR260275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260275/ERR260275_2.fastq.gz
PRJEB1786	SAMEA1906439	550	145	ERR260276	PAIRED	5187745	399666575;388473716	420061342;408753730	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260276/ERR260276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260276/ERR260276_2.fastq.gz
PRJEB1786	SAMEA1906535	60	81	ERR275251	PAIRED	14924652	1268221763;1252475570	1318420176;1301780040	ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/ERR275251/ERR275251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/ERR275251/ERR275251_2.fastq.gz
PRJEB1786	SAMEA1906554	602	82	ERR275252	PAIRED	17840003	1661351610;1602528511	1716253065;1656822319	ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/ERR275252/ERR275252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR275/ERR275252/ERR275252_2.fastq.gz
